id,code,name,user_type_id/id,reconcile,tag_ids/id,chart_template_id/id
az522-2,522-2,İşçi işsizlik sığortası,account.data_account_type_current_liabilities,FALSE,,l10n_az
az522-3,522-3,İşçi icbari sığorta,account.data_account_type_current_liabilities,FALSE,,l10n_az
az522-4,522-4,İşəgötürən sosial müdafiə fondu,account.data_account_type_current_liabilities,FALSE,,l10n_az
az522-5,522-5,İşəgötürən işsizlik sığortası,account.data_account_type_current_liabilities,FALSE,,l10n_az
az522-6,522-6,İşəgötürən icbari sığorta,account.data_account_type_current_liabilities,FALSE,,l10n_az
az523,523,Digər məcburi ödənişlər üzrə öhdəliklər,account.data_account_type_current_liabilities,FALSE,,l10n_az
az53,53,Qısamüddətli kreditor borcları,account.data_account_type_current_liabilities,FALSE,,l10n_az
az531,531,Malsatan və podratçılara qısamüddətli kreditor borcları,account.data_account_type_payable,TRUE,,l10n_az
az532,532,Törəmə(asılı) müəssisələrə qısamüddətli kreditor borcları,account.data_account_type_payable,TRUE,,l10n_az
az533,533,Əməyin ödənişi üzrə işçi heyətinə olan borclar,account.data_account_type_current_liabilities,FALSE,,l10n_az
az534,534,Dividendlərin ödənilməsi üzrə təsisçilərə kreditor borcları,account.data_account_type_payable,TRUE,,l10n_az
az535,535,İcarə üzrə qısamüddətli kreditor borcları,account.data_account_type_payable,TRUE,,l10n_az
az536,536,Tikinti müqavilələri üzrə qısamüddətli kreditor borcları,account.data_account_type_payable,TRUE,,l10n_az
az537,537,Faizlər üzrə qısamüddətli kreditor borcları,account.data_account_type_payable,TRUE,,l10n_az
az538,538,Digər qısamüddətli kreditor borcları,account.data_account_type_payable,TRUE,,l10n_az
az54,54,Sair qısamüddətli öhdəliklər,account.data_account_type_current_liabilities,FALSE,,l10n_az
az541,541,Qısamüddətli pensiya öhdəlikləri,account.data_account_type_current_liabilities,FALSE,,l10n_az
az542,542,Gələcək hesabat dövrünün gəlirləri,account.data_account_type_current_liabilities,FALSE,,l10n_az
az543,543,Alınmış qısamüddətli avanslar,account.data_account_type_current_liabilities,FALSE,,l10n_az
az544,544,Qisamüddətli məqsədli maliyyələşmələr və daxilolmalar,account.data_account_type_current_liabilities,FALSE,,l10n_az
az545,545,Digər qısamüddətli öhdəliklər,account.data_account_type_current_liabilities,FALSE,,l10n_az
az60,60,Əsas əməliyyat gəliri,account.data_account_type_revenue,FALSE,account.account_tag_operating,l10n_az
az601,601,Satış,account.data_account_type_revenue,FALSE,account.account_tag_operating,l10n_az
az602,602,Satılmış malların qaytarılması və ucuzlaşdırılması,account.data_account_type_revenue,FALSE,account.account_tag_operating,l10n_az
az603,603,Verilmiş güzəştlər,account.data_account_type_revenue,FALSE,account.account_tag_operating,l10n_az
az61,61,Sair əməliyyat gəlirləri,account.data_account_type_other_income,FALSE,account.account_tag_operating,l10n_az
az611,611,Sair əməliyyat gəlirləri,account.data_account_type_other_income,FALSE,account.account_tag_operating,l10n_az
az62,62,Fəaliyyətin dayandırılmasından yaranan gəlirlər,account.data_account_type_other_income,FALSE,account.account_tag_operating,l10n_az
az621,621,Fəaliyyətin dayandırılmasından yaranan gəlirlər,account.data_account_type_other_income,FALSE,account.account_tag_operating,l10n_az
az63,63,Maliyyə gəlirləri,account.data_account_type_other_income,FALSE,account.account_tag_financing,l10n_az
az631,631,Maliyyə gəlirləri,account.data_account_type_other_income,FALSE,account.account_tag_financing,l10n_az
az64,64,Fövqəladə gəlirlər,account.data_account_type_other_income,FALSE,account.account_tag_operating,l10n_az
az641,641,Fövqəladə gəlirlər,account.data_account_type_other_income,FALSE,account.account_tag_operating,l10n_az
az70,70,Satışın maya dəyəri üzrə xərclər,account.data_account_type_direct_costs,FALSE,account.account_tag_operating,l10n_az
az701,701,Satışın maya dəyəri üzrə xərclər,account.data_account_type_direct_costs,FALSE,account.account_tag_operating,l10n_az
az71,71,Kommersiya xərcləri,account.data_account_type_expenses,FALSE,account.account_tag_operating,l10n_az
az711,711,Kommersiya xərcləri,account.data_account_type_expenses,FALSE,account.account_tag_operating,l10n_az
az72,72,İnzibati xərclər,account.data_account_type_expenses,FALSE,account.account_tag_operating,l10n_az
az721,721,İnzibati xərclər,account.data_account_type_expenses,FALSE,account.account_tag_operating,l10n_az
az721-1,721-1,Əmək haqqı xərcləri,account.data_account_type_expenses,FALSE,account.account_tag_operating,l10n_az
az721-2,721-2,Əmək haqqına əlavələr,account.data_account_type_expenses,FALSE,account.account_tag_operating,l10n_az
az721-3,721-3,Vergi və sosial müavinat xərcləri,account.data_account_type_expenses,FALSE,account.account_tag_operating,l10n_az
az73,73,Sair əməliyyat xərcləri,account.data_account_type_expenses,FALSE,account.account_tag_operating,l10n_az
az731,731,Sair əməliyyat xərcləri,account.data_account_type_expenses,FALSE,account.account_tag_operating,l10n_az
az74,74,Fəaliyyətin dayandırılmasından yaranan xərclər,account.data_account_type_expenses,FALSE,account.account_tag_operating,l10n_az
az741,741,Fəaliyyətin dayandırılmasından yaranan xərclər,account.data_account_type_expenses,FALSE,account.account_tag_operating,l10n_az
az75,75,Maliyyə xərcləri,account.data_account_type_expenses,FALSE,account.account_tag_financing,l10n_az
az751,751,Maliyyə xərcləri,account.data_account_type_expenses,FALSE,account.account_tag_financing,l10n_az
az76,76,Fövqəladə xərclər,account.data_account_type_expenses,FALSE,account.account_tag_operating,l10n_az
az761,761,Fövqəladə xərclər,account.data_account_type_expenses,FALSE,account.account_tag_operating,l10n_az
az90,90,Mənfəət vergisi,account.data_account_type_expenses,FALSE,account.account_tag_operating,l10n_az
az901,901,Cari mənfəət vergisi üzrə xərclər,account.data_account_type_expenses,FALSE,account.account_tag_operating,l10n_az
az902,902,Təxirə salınmış mənfəət vergisi üzrə xərclər,account.data_account_type_expenses,FALSE,account.account_tag_operating,l10n_az
az201-1,201-1,Stock Input,account.data_account_type_current_assets,TRUE,,l10n_az
az201-2,201-2,Stock Output,account.data_account_type_current_assets,TRUE,,l10n_az
az521-3,521-3,Kəsilmiş qaimələrin ƏDV-i,account.data_account_type_current_liabilities,FALSE,,l10n_az
